Summary of robustness across all GNN models with dropout with 16 features

Seed   Epsilon    Robust     Unknown    NotRob     Total      Acc   
3       0.00005   0.026     0.705     0.269     35947   0.731
3       0.00050   0.026     0.705     0.269     35947   0.731
3       0.00500   0.026     0.707     0.267     35947   0.731
4       0.00005   0.094     0.657     0.249     35947   0.751
4       0.00050   0.094     0.657     0.249     35947   0.751
4       0.00500   0.094     0.659     0.247     35947   0.751
5       0.00005   0.713     0.009     0.277     35947   0.723
5       0.00050   0.713     0.010     0.277     35947   0.723
5       0.00500   0.713     0.013     0.275     35947   0.723
